CODECODE,国民经济行业类型,等级
C03842,镍氢电池制造,4
C03843,铅蓄电池制造,4
C03844,锌锰电池制造,4
C03849,其他电池制造,4
C0385,家用电力器具制造,3
C03851,家用制冷电器具制造,4
C03852,家用空气调节器制造,4
C03853,家用通风电器具制造,4
C03854,家用厨房电器具制造,4
C03855,家用清洁卫生电器具制造,4
C03856,家用美容、保健护理电器具制造,4
C03857,家用电力器具专用配件制造,4
C03859,其他家用电力器具制造,4
C0386,非电力家用器具制造,3
C03861,燃气及类似能源家用器具制造,4
C03862,太阳能器具制造,4
C03869,其他非电力家用器具制造,4
C0387,照明器具制造,3
C03871,电光源制造,4
C03872,照明灯具制造,4
C03873,舞台及场地用灯制造,4
C03874,智能照明器具制造,4
C03879,灯用电器附件及其他照明器具制造,4
C0389,其他电气机械及器材制造,3
C03891,电气信号设备装置制造,4
C03899,其他未列明电气机械及器材制造,4
C039,计算机、通信和其他电子设备制造业,2
C0391,计算机制造,3
C03911,计算机整机制造,4
C03912,计算机零部件制造,4
C03913,计算机外围设备制造,4
C03914,工业控制计算机及系统制造,4
C03915,信息安全设备制造,4
C03919,其他计算机制造,4
C0392,通信设备制造,3
C03921,通信系统设备制造,4
C03922,通信终端设备制造,4
C0393,广播电视设备制造,3
C03931,广播电视节目制作及发射设备制造,4
C03932,广播电视接收设备制造,4
C03933,广播电视专用配件制造,4
C03934,专业音响设备制造,4
C03939,应用电视设备及其他广播电视设备制造,4
C0394,雷达及配套设备制造,3
C0395,非专业视听设备制造,3
C03951,电视机制造,4
C03952,音响设备制造,4
C03953,影视录放设备制造,4
C0396,智能消费设备制造,3
C03961,可穿戴智能设备制造,4
C03962,智能车载设备制造,4
C03963,智能无人飞行器制造,4
C03964,服务消费机器人制造,4
